symbol,exchange,date,underlying_price,option_symbol,expiration,strike,call_put,style,ask,bid,mean_price,volume,open_interest,iv,iv_raw,delta,gamma,vega,theta,rho,oi_2,option_id,trade_date_fetch
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00582000,2026-01-30,582.0,C,A,104.89,102.1,103.494995,0,683.17,0.315577,0.315577,0.97194,0.001078,0.121792,-0.125878,0.429976,0,6,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00583000,2026-01-30,583.0,C,A,103.9,101.12,102.51,0,683.17,0.313765,0.313765,0.97134,0.001103,0.123952,-0.126753,0.430418,0,0,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00584000,2026-01-30,584.0,C,A,102.91,100.13,101.520004,0,683.17,0.311534,0.311534,0.970888,0.001126,0.125578,-0.127233,0.43094,0,1,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00585000,2026-01-30,585.0,C,A,101.92,99.14,100.53,0,683.17,0.309293,0.309293,0.970428,0.001149,0.12722,-0.127706,0.431459,0,53,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00586000,2026-01-30,586.0,C,A,100.92,98.14,99.53,0,683.17,0.306264,0.306264,0.970273,0.001165,0.127775,-0.127413,0.432145,0,3,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00587000,2026-01-30,587.0,C,A,99.95,97.15,98.55,0,683.17,0.304784,0.304784,0.969491,0.001196,0.130556,-0.128634,0.432486,0,13,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00588000,2026-01-30,588.0,C,A,98.95,96.15,97.55,0,683.17,0.301755,0.301755,0.969324,0.001214,0.131146,-0.128337,0.433166,0,7,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00589000,2026-01-30,589.0,C,A,97.93,95.17,96.55,0,683.17,0.298731,0.298731,0.969155,0.001232,0.131745,-0.128038,0.433845,0,2,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00590000,2026-01-30,590.0,C,A,96.96,94.17,95.565,0,683.17,0.296837,0.296837,0.968506,0.001261,0.134032,-0.128861,0.43426,6,55,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00592000,2026-01-30,592.0,C,A,94.99,92.2,93.595,0,683.17,0.292987,0.292987,0.967184,0.001322,0.13866,-0.130469,0.435079,0,0,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00593000,2026-01-30,593.0,C,A,93.99,91.2,92.595,0,683.17,0.289962,0.289962,0.966989,0.001342,0.139339,-0.13016,0.435744,0,3,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00591000,2026-01-30,591.0,C,A,95.97,93.19,94.58,0,683.17,0.294922,0.294922,0.96785,0.001291,0.136337,-0.129671,0.434672,0,24,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00594000,2026-01-30,594.0,C,A,91.86,91.29,91.575,0,683.17,0.285501,0.285501,0.967441,0.001348,0.137764,-0.128383,0.436763,0,182,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00595000,2026-01-30,595.0,C,A,91.99,89.23,90.61,0,683.17,0.284984,0.284984,0.966101,0.001396,0.142419,-0.13063,0.436801,1,35,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00596000,2026-01-30,596.0,C,A,91.03,88.23,89.630005,0,683.17,0.283351,0.283351,0.965239,0.001433,0.145387,-0.131756,0.437101,0,5,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00597000,2026-01-30,597.0,C,A,90.04,87.24,88.64,0,683.17,0.28101,0.28101,0.964693,0.001464,0.14726,-0.132151,0.437574,0,3,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00598000,2026-01-30,598.0,C,A,89.02,86.26,87.64,0,683.17,0.277987,0.277987,0.964465,0.001487,0.148038,-0.131829,0.438222,0,4,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00599000,2026-01-30,599.0,C,A,88.06,85.27,86.66499,0,683.17,0.276631,0.276631,0.963409,0.001531,0.151632,-0.133272,0.438417,0,8,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00601000,2026-01-30,601.0,C,A,86.08,83.3,84.69,0,683.17,0.2722,0.2722,0.962085,0.001602,0.156101,-0.134353,0.439238,0,6,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00602000,2026-01-30,602.0,C,A,85.1,82.31,83.705,0,683.17,0.270122,0.270122,0.961324,0.00164,0.158649,-0.135051,0.439595,0,9,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00603000,2026-01-30,603.0,C,A,84.1,81.32,82.71,0,683.17,0.267405,0.267405,0.960885,0.001672,0.160115,-0.135052,0.440128,0,61,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00604000,2026-01-30,604.0,C,A,83.12,80.34,81.729996,0,683.17,0.265608,0.265608,0.959935,0.001717,0.16327,-0.136068,0.440382,0,30,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00606000,2026-01-30,606.0,C,A,81.14,78.35,79.744995,0,683.17,0.260447,0.260447,0.958837,0.00179,0.166894,-0.136375,0.441329,0,5,2026-01-02
SPY,NYSEArca,2026-01-02,683.17,SPY   260130C00607000,2026-01-30,607.0,C,A,80.16,77.38,78.770004,0,683.17,0.25889,0.25889,0.957679,0.001841,0.170686,-0.137683,0.44147,0,4,2026-01-02
