open,high,low,close,volume,trade_count,vwap
478.46,478.47,477.5,478.04,11064.0,111.0,478.250973
478.06,478.06,477.92,477.96,9983.0,66.0,477.991894
477.94,477.94,477.55,477.55,8255.0,68.0,477.750667
477.59,477.72,477.59,477.72,704.0,10.0,477.662529
477.61,477.7,477.52,477.52,1622.0,27.0,477.626207
477.57,477.63,477.51,477.63,11144.0,30.0,477.552826
477.58,477.58,477.31,477.32,5031.0,37.0,477.484468
477.32,477.32,477.24,477.25,1333.0,16.0,477.273431
477.53,477.6,477.53,477.59,1650.0,15.0,477.589383
477.66,477.71,477.49,477.49,55981.0,128.0,477.506706
477.53,477.58,477.45,477.45,1104.0,15.0,477.532
477.49,477.49,477.3,477.45,3917.0,39.0,477.412078
477.47,477.59,477.04,477.3,129297.0,648.0,477.365551
477.35,477.71,477.33,477.62,36521.0,380.0,477.560083
477.66,477.75,477.57,477.68,8956.0,82.0,477.6756
477.73,477.77,477.47,477.47,22552.0,153.0,477.63663
477.5199,478.38,477.27,477.73,82326.0,1165.0,477.705416
477.67,478.02,477.63,477.8,116022.0,735.0,477.756852
478.08,478.5,475.2,476.3,1640508.0,7554.0,476.430221
476.35,476.83,475.61,475.61,450107.0,2408.0,476.271589
475.68,476.659848,475.57,476.41,1215359.0,1409.0,476.555188
476.4,477.64,476.4,477.58,435335.0,2039.0,477.014094
477.58,478.12,476.89,477.12,4316711.0,36924.0,477.566768
477.13,477.175,475.72,476.32,3294779.0,23480.0,476.317226
476.32,476.38,473.57,473.75,4206112.0,47301.0,474.5639
473.77,475.06,473.64,475.0,2640494.0,24610.0,474.481601
474.99,475.57,474.37,475.0705,2587065.0,24335.0,474.995272
475.08,475.12,473.87,473.99,1959888.0,19624.0,474.310267
474.0,474.28,472.73,472.75,2349585.0,21585.0,473.694524
472.755,473.32,472.52,473.05,3203581.0,22645.0,472.898883
473.05,473.14,472.43,472.5,2563287.0,18806.0,472.785209
472.52,473.52,472.26,472.6133,3262105.0,20912.0,472.923561
472.63,473.619,472.55,473.4435,1604359.0,15195.0,473.148203
473.45,473.57,472.88,472.94,1603704.0,15461.0,473.29386
472.96,474.0,472.96,473.83,1522990.0,12826.0,473.39558
473.81,474.355,473.78,473.96,2144303.0,15141.0,474.067138
473.95,474.82,473.88,474.75,1860070.0,17883.0,474.445032
474.75,475.04,474.62,474.75,2519800.0,18685.0,474.821144
474.76,475.07,474.6101,474.9998,1412750.0,13053.0,474.883191
474.9992,475.82,474.79,475.7588,2369242.0,17188.0,475.27606
475.76,476.12,475.32,475.875,2896274.0,20741.0,475.739131
475.875,476.23,475.43,476.1,1722580.0,15274.0,475.795369
476.11,476.43,475.92,476.0701,1800953.0,14194.0,476.191108
476.08,476.979,476.05,476.81,1813727.0,14837.0,476.546592
476.83,476.92,475.55,476.06,2329344.0,16970.0,476.139762
476.05,476.33,475.465,475.91,2090584.0,18689.0,475.91203
475.9,476.28,475.69,475.88,2395857.0,21906.0,475.936841
475.88,476.7,475.54,476.32,6885332.0,44581.0,476.231596
476.32,476.4,476.2,476.29,5758467.0,2123.0,476.342874
476.28,476.37,476.18,476.2,191013.0,743.0,476.266583
476.19,476.22,476.08,476.1,127390.0,663.0,476.119937
476.1,476.1,475.98,476.07,35351.0,442.0,476.043202
476.1,476.3,475.98,476.03,69492.0,385.0,476.132144
476.03,476.03,475.98,475.98,2635.0,48.0,475.984835
475.98,476.01,475.96,475.96,7614.0,106.0,475.989896
475.98,476.05,475.92,476.04,6953.0,102.0,475.966166
475.97,476.03,475.79,475.97,32246.0,219.0,475.921259
475.98,476.25,475.98,476.19,11669.0,80.0,476.108154
476.19,476.22,475.8,475.87,14599.0,168.0,475.98593
475.9701,476.03,475.91,476.03,5215.0,88.0,475.965958
476.07,476.15,475.96,475.97,8597.0,110.0,476.059668
475.98,476.19,475.96,475.98,10699.0,167.0,476.061596
475.96,475.97,475.72,475.72,12809.0,178.0,475.888284
475.76,475.87,475.39,475.46,33173.0,194.0,475.529385
476.12,477.09,475.82,477.09,11446.0,80.0,476.735556
477.01,477.02,476.47,476.65,6452.0,47.0,476.747662
476.9,476.9,476.48,476.5,7764.0,34.0,476.654456
476.55,476.55,476.3,476.36,1307.0,11.0,476.398172
476.24,476.47,476.2,476.47,683.0,7.0,476.34701
476.45,476.6,476.45,476.6,1932.0,17.0,476.55163
476.43,476.49,476.41,476.49,1005.0,7.0,476.431858
476.2,476.2,475.99,476.19,1337.0,20.0,476.118696
476.4,476.4,475.98,476.08,4166.0,34.0,476.027761
475.93,476.02,475.75,475.98,5969.0,59.0,475.887125
475.88,475.92,475.24,475.27,168824.0,383.0,475.579389
475.29,475.29,474.17,474.92,31829.0,256.0,474.521951
474.95,475.35,474.94,475.06,112399.0,569.0,475.119725
475.05,475.3,474.75,475.17,100379.0,382.0,475.038524
475.19,475.57,475.19,475.33,32792.0,322.0,475.379354
475.33,475.4,475.1,475.15,43364.0,219.0,475.206934
475.17,476.85,474.3196,475.14,125936.0,1429.0,475.292381
475.16,475.34,474.8,475.22,178424.0,1004.0,474.981274
475.59,476.67,475.46,476.22,463464.0,2125.0,476.301838
476.27,476.43,475.91,476.43,134299.0,986.0,476.18276
476.43,476.75,476.29,476.74,74364.0,807.0,476.513351
476.73,477.97,476.69,477.85,351616.0,2185.0,477.468772
477.84,478.57,477.73,478.3796,3694044.0,32578.0,478.125939
478.375,478.6,477.0797,477.12,2873466.0,28149.0,478.081364
477.14,477.5,476.26,476.5799,3732497.0,44726.0,476.839351
476.57,476.95,475.9,476.53,2667825.0,23813.0,476.366409
476.52,476.9101,475.64,476.37,2246052.0,23096.0,476.39598
476.37,476.57,475.23,475.8,2328095.0,21734.0,475.706469
475.81,476.65,475.61,476.455,1939329.0,18472.0,476.130017
476.45,476.79,476.2152,476.5795,1572068.0,15574.0,476.535544
476.58,476.82,475.405,475.81,1706028.0,16178.0,476.072774
475.8,475.97,475.4699,475.67,1137552.0,11906.0,475.695156
475.68,476.1,475.365,475.8801,1128807.0,12188.0,475.703062
475.895,476.32,475.55,475.92,1311124.0,12630.0,475.973789
475.94,476.12,475.61,476.055,765136.0,8739.0,475.891504
476.04,476.49,475.73,476.13,1401305.0,11371.0,476.131103
476.13,476.6767,476.13,476.55,1112949.0,10514.0,476.460092
476.55,476.76,476.32,476.6299,1091131.0,10426.0,476.567581
476.64,476.93,476.4901,476.78,1973707.0,10514.0,476.72813
476.78,477.02,476.635,476.931,915942.0,9087.0,476.821385
476.93,477.26,476.91,477.195,1066693.0,10133.0,477.093499
477.2,477.34,476.58,476.91,1378088.0,12348.0,477.035554
476.9099,476.93,476.15,476.39,1422592.0,12423.0,476.518664
476.39,476.6,476.16,476.2501,1233680.0,12020.0,476.349174
476.26,476.48,476.0596,476.1899,1827469.0,12530.0,476.198085
476.19,476.32,475.76,476.1895,1806661.0,15382.0,476.055951
476.19,476.51,476.08,476.47,2110775.0,16932.0,476.341889
476.47,476.9,476.37,476.665,6466794.0,38368.0,476.649598
476.66,477.1452,476.1183,476.35,4372364.0,3233.0,476.571133
476.34,476.4,476.15,476.2,529224.0,986.0,476.280561
476.16,476.2,475.97,476.12,151376.0,493.0,476.11231
476.07,476.2,476.07,476.15,13772.0,222.0,476.114727
476.12,476.33,476.1075,476.28,25672.0,232.0,476.2176
476.2,476.25,476.11,476.2,15431.0,126.0,476.167479
476.1,476.1,475.95,476.09,8591.0,404.0,476.019548
476.12,476.13,475.95,476.0,12572.0,120.0,476.052933
476.0,476.0,475.6,475.83,58598.0,434.0,475.785815
475.83,475.83,475.6604,475.7596,5217.0,54.0,475.770848
475.72,475.83,475.68,475.7,18627.0,340.0,475.760462
475.8,475.8709,475.73,475.75,11019.0,159.0,475.806368
475.78,475.86,475.78,475.83,5523.0,62.0,475.826537
475.85,475.85,475.77,475.81,3232.0,63.0,475.806429
475.84,475.84,475.74,475.74,3363.0,59.0,475.774757
475.72,475.81,475.65,475.65,14349.0,220.0,475.727672
474.25,474.88,474.25,474.46,12552.0,171.0,474.436522
474.53,474.54,474.0,474.01,4340.0,53.0,474.19439
474.03,474.42,474.0,474.42,3358.0,35.0,474.212697
474.27,474.4,474.17,474.4,1558.0,18.0,474.283333
474.11,474.11,474.04,474.05,3318.0,24.0,474.075669
473.96,473.97,473.84,473.85,1776.0,25.0,473.888393
473.75,474.15,473.69,474.07,2837.0,47.0,473.864776
474.04,474.04,473.85,473.91,1515.0,19.0,473.903934
474.01,474.1,473.93,474.0,2569.0,33.0,474.039355
474.18,474.29,474.06,474.29,1854.0,23.0,474.144375
474.3,474.36,474.19,474.3,11678.0,52.0,474.297252
474.35,474.92,474.35,474.81,7367.0,88.0,474.732755
474.84,474.93,474.74,474.74,102232.0,522.0,474.845018
474.76,474.93,474.46,474.93,52978.0,486.0,474.700366
474.94,475.35,474.751,475.17,43320.0,396.0,475.0348
475.3,475.48,475.24,475.38,36346.0,322.0,475.374591
474.8304,475.45,473.85,474.91,133315.0,1692.0,474.966674
474.96,475.02,474.44,474.8,101702.0,983.0,474.764629
474.8,475.55,474.79,475.21,95290.0,985.0,475.286764
475.24,475.24,474.53,474.61,94859.0,883.0,474.810897
474.71,474.76,474.41,474.74,60945.0,968.0,474.54724
474.82,475.31,474.56,475.25,156609.0,1387.0,474.924742
475.25,475.61,473.96,474.11,4411390.0,43772.0,474.808043
474.13,474.55,473.47,474.5,3074791.0,27031.0,473.96047
474.49,475.2,474.145,475.074,3073047.0,41878.0,474.660178
475.08,476.26,474.89,475.92,3355765.0,30679.0,475.667882
475.92,476.57,475.59,476.29,2467362.0,22663.0,476.161
476.31,476.59,476.1601,476.19,2389757.0,20154.0,476.392176
476.21,476.39,474.61,475.555,5207618.0,46093.0,475.331329
475.57,476.6098,475.26,475.8803,2168823.0,21181.0,476.048076
475.9,476.44,475.69,475.924,1660851.0,13905.0,476.065387
475.93,475.9992,475.02,475.23,1373211.0,14365.0,475.484067
475.23,475.39,474.5,474.69,3627529.0,15061.0,474.81463
474.68,475.035,474.34,474.41,1677532.0,12937.0,474.724418
474.42,474.69,474.04,474.37,2003237.0,15687.0,474.386038
474.36,474.55,473.92,473.94,2892049.0,13116.0,474.230111
473.96,474.485,473.83,474.4533,1250839.0,11183.0,474.172733
474.45,475.21,474.4,475.005,2093048.0,17724.0,474.774713
475.01,475.2,474.26,474.3,2617455.0,15897.0,474.774938
474.3,474.35,473.78,474.0606,1816305.0,12058.0,474.076229
474.07,474.21,473.285,473.41,2612193.0,14973.0,473.751547
473.4,473.86,473.06,473.5901,2302476.0,16244.0,473.442167
473.595,473.83,473.36,473.775,2570727.0,14343.0,473.620813
473.785,474.37,473.72,474.29,1966044.0,16770.0,474.168556
474.28,474.52,474.1021,474.1099,2283198.0,17263.0,474.302497
474.105,474.4599,473.95,474.0399,2790827.0,18961.0,474.197338
474.05,474.17,473.775,474.11,3516617.0,27339.0,473.99189
474.11,475.06,473.92,474.95,8815395.0,54446.0,474.454225
474.95,475.13,473.9066,474.96,9417025.0,3078.0,474.952042
474.98,475.09,474.9,475.0609,211269.0,695.0,475.00706
475.0701,475.14,474.95,475.02,190314.0,660.0,475.006199
475.0,475.15,474.98,475.03,89604.0,337.0,475.077957
475.03,475.07,474.99,474.99,8984.0,139.0,475.04146
475.0,475.06,474.93,474.99,21982.0,184.0,474.961862
475.05,475.05,474.97,474.98,4886.0,73.0,474.991641
474.98,475.04,474.96,474.99,6857.0,99.0,474.991484
475.03,475.1,474.93,475.04,25854.0,198.0,474.995584
475.0,475.08,474.99,475.05,5262.0,77.0,475.051786
474.93,474.93,474.91,474.91,5805.0,62.0,474.920901
474.9,475.1,474.9,475.1,8368.0,77.0,474.969536
475.08,475.09,474.91,474.97,13136.0,139.0,474.962823
474.88,474.92,474.75,474.85,23212.0,127.0,474.843825
474.8,474.86,474.61,474.61,13592.0,165.0,474.730084
474.66,474.8099,474.61,474.75,8177.0,103.0,474.725536
472.6,472.87,472.16,472.17,16536.0,173.0,472.472892
472.11,472.65,472.11,472.61,11873.0,67.0,472.291268
472.78,472.91,472.78,472.84,1699.0,62.0,472.847366
472.78,473.02,472.77,472.97,13977.0,104.0,472.969091
473.01,473.12,473.01,473.09,2764.0,10.0,473.092981
473.01,473.08,472.77,472.77,5213.0,43.0,472.963875
472.76,472.8,472.66,472.66,2286.0,23.0,472.755814
472.75,472.85,472.58,472.85,5542.0,35.0,472.695097
472.65,472.74,472.5,472.5,1778.0,21.0,472.557033
472.56,472.73,472.51,472.71,5008.0,92.0,472.602912
472.94,473.2,472.9,473.1,13771.0,99.0,472.962723
473.1,473.17,473.0,473.11,6987.0,39.0,473.101544
473.19,473.31,473.05,473.21,97630.0,423.0,473.169451
473.22,473.67,473.22,473.5,56199.0,448.0,473.513881
473.48,473.55,473.28,473.3,23986.0,218.0,473.428936
473.28,473.58,473.2,473.26,74023.0,371.0,473.307219
473.4601,473.82,472.46,473.14,179569.0,1942.0,473.092186
473.12,473.12,472.77,472.86,47587.0,389.0,472.899788
472.85,474.77,472.2,472.2,211776.0,1193.0,472.606614
472.2,472.2,471.8,471.97,174533.0,1255.0,471.949777
471.99,472.2,471.73,472.18,99430.0,826.0,472.01122
472.18,472.35,471.73,471.82,229090.0,1307.0,471.871431
471.82,471.94,471.17,471.28,4958609.0,44943.0,471.536359
471.27,471.775,471.05,471.325,2971060.0,27294.0,471.309088
471.32,472.1503,471.05,472.105,4282593.0,35175.0,471.713173
472.11,472.26,471.305,471.84,3253930.0,25971.0,471.725213
471.82,472.32,471.5,471.91,2167066.0,20606.0,471.924749
471.91,472.36,471.72,472.02,1599377.0,15815.0,472.00811
472.02,472.77,472.0,472.42,2270310.0,17695.0,472.504739
472.43,472.78,472.23,472.5,1565387.0,14436.0,472.577892
472.505,472.79,472.37,472.6999,1348066.0,12053.0,472.62157
472.7,472.79,472.13,472.1789,1669122.0,12316.0,472.370472
472.18,472.3,471.72,472.069,1429482.0,12683.0,472.000593
472.06,472.1123,471.4098,471.52,1424287.0,13198.0,471.675631
471.53,471.68,471.12,471.3299,1478499.0,13574.0,471.428033
471.32,471.935,471.21,471.68,1681393.0,12965.0,471.592797
471.68,472.04,471.1201,471.19,1340823.0,11073.0,471.627569
471.2,471.2,470.45,470.69,1821083.0,17022.0,470.808724
